Version1,Version2,Version3,Version4,Version5
N/A,t2.nano,t3.nano,N/A,N/A
t1.micro,t2.micro,t3.micro,N/A,N/A
N/A,t2.small,t3.small,N/A,N/A
N/A,t2.medium,t3.medium,N/A,N/A
N/A,t2.large,t3.large,N/A,N/A
N/A,t2.xlarge,t3.xlarge,N/A,N/A
N/A,t2.2xlarge,t3.2xlarge,N/A,N/A
m1.small,N/A,N/A,N/A,N/A
m1.medium,N/A,m3.medium,N/A,N/A
m1.large,N/A,m3.large,m4.large,m5.large
m1.xlarge,m2.xlarge,m3.xlarge,m4.xlarge,m5.xlarge
N/A,m2.2xlarge,m3.2xlarge,m4.2xlarge,m5.2xlarge
N/A,m2.4xlarge,N/A,m4.4xlarge,m5.4xlarge
N/A,N/A,N/A,m4.10xlarge,N/A
N/A,N/A,N/A,m4.16xlarge,N/A
N/A,N/A,N/A,N/A,m5.12xlarge
N/A,N/A,N/A,N/A,m5.24xlarge
c1.medium,N/A,N/A,N/A,N/A
N/A,N/A,c3.large,c4.large,c5.large
c1.xlarge,N/A,c3.xlarge,c4.xlarge,c5.xlarge
N/A,N/A,c3.2xlarge,c4.2xlarge,c5.2xlarge
N/A,N/A,c3.4xlarge,c4.4xlarge,c5.4xlarge
N/A,cc2.8xlarge,c3.8xlarge,c4.8xlarge,c5.9xlarge
N/A,N/A,N/A,N/A,c5.18xlarge
f1.2xlarge,N/A,N/A,N/A,N/A
f1.16xlarge,N/A,N/A,N/A,N/A
N/A,g2.2xlarge,N/A,N/A,N/A
N/A,N/A,g3.4xlarge,N/A,N/A
N/A,g2.8xlarge,g3.8xlarge,N/A,N/A
N/A,N/A,g3.16xlarge,N/A,N/A
N/A,p2.xlarge,p3.xlarge,N/A,N/A
N/A,p2.8xlarge,p3.8xlarge,N/A,N/A
N/A,p2.16xlarge,p3.16xlarge,N/A,N/A
N/A,N/A,r3.large,r4.large,r5.large
N/A,N/A,r3.xlarge,r4.xlarge,r5.xlarge
N/A,N/A,r3.2xlarge,r4.2xlarge,r5.2xlarge
N/A,N/A,r3.4xlarge,r4.4xlarge,r5.4xlarge
N/A,N/A,r3.8xlarge,r4.8xlarge,N/A
N/A,N/A,N/A,N/A,r5.12xlarge
N/A,N/A,N/A,r4.16xlarge,N/A
N/A,N/A,N/A,N/A,r5.24xlarge
N/A,N/A,i3.large,N/A,N/A
N/A,i2.xlarge,i3.xlarge,N/A,N/A
N/A,i2.2xlarge,i3.2xlarge,N/A,N/A
N/A,i2.4xlarge,i3.4xlarge,N/A,N/A
N/A,i2.8xlarge,i3.8xlarge,N/A,N/A
N/A,N/A,i3.16xlarge,N/A,N/A
h1.2xlarge,N/A,N/A,N/A,N/A
h1.4xlarge,N/A,N/A,N/A,N/A
h1.8xlarge,N/A,N/A,N/A,N/A
h1.16xlarge,N/A,N/A,N/A,N/A
N/A,d2.xlarge,N/A,N/A,N/A
N/A,d2.2xlarge,N/A,N/A,N/A
N/A,d2.4xlarge,N/A,N/A,N/A
N/A,d2.8xlarge,N/A,N/A,N/A
